City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salto del guaira,-24.0625,-54.3069,75.9,36,0,3.06,PY,1727654485
1,korkut,38.7391,41.7822,55.67,37,0,2.98,TR,1727654486
2,okhotsk,59.3833,143.3,41.45,48,27,17.56,RU,1727654488
3,puerto natales,-51.7236,-72.4875,27.86,80,44,4.54,CL,1727654489
4,bikenibeu village,1.3673,173.1241,82.2,73,66,7.81,KI,1727654490
5,constitucion,-35.3333,-72.4167,54.09,92,100,11.43,CL,1727654491
6,lib,8.3122,167.3766,83.41,71,96,3.71,MH,1727654492
7,nagqu,31.5,92.0,32.86,84,15,3.15,CN,1727654494
8,kodiak,57.79,-152.4072,48.27,76,32,4.61,US,1727654496
9,bubaque,11.2833,-15.8333,81.37,80,96,11.21,GW,1727654497
10,neryungri,56.6709,124.6491,30.27,78,99,9.33,RU,1727654498
11,prince rupert,54.3161,-130.3201,52.25,73,28,2.3,CA,1727654500
12,coquimbo,-29.9533,-71.3436,54.99,75,40,3.06,CL,1727654501
13,bilibino,68.0546,166.4372,29.43,86,99,3.47,RU,1727654502
14,morondava,-20.2833,44.2833,73.89,85,5,1.97,MG,1727654503
15,west island,-12.1568,96.8225,78.78,83,20,12.66,CC,1727654505
16,atafu village,-8.5421,-172.5159,81.81,78,45,8.97,TK,1727654506
17,wailua homesteads,22.0669,-159.378,82.83,70,38,7.0,US,1727654507
18,isyangulovo,52.1909,52.1909,52.16,36,69,5.46,RU,1727654508
19,adamstown,-25.066,-130.1015,66.69,58,11,8.63,PN,1727654509
20,kajiado,-1.8524,36.7768,62.13,83,92,3.51,KE,1727654510
21,geraldton,-28.7667,114.6,50.41,93,1,10.36,AU,1727654268
22,ushuaia,-54.8,-68.3,20.7,93,88,3.2,AR,1727654513
23,invercargill,-46.4,168.35,60.03,58,10,3.0,NZ,1727654411
24,whangarei,-35.7317,174.3239,64.18,50,15,5.44,NZ,1727654515
25,luderitz,-26.6481,15.1594,52.5,58,0,20.15,NA,1727654423
26,salinas,36.6777,-121.6555,74.71,76,0,12.66,US,1727654486
27,edinburgh of the seven seas,-37.0676,-12.3116,58.42,92,99,36.01,SH,1727654519
28,albany,42.6001,-73.9662,62.69,73,100,1.01,US,1727654520
29,iqaluit,63.7506,-68.5145,38.7,77,68,8.99,CA,1727654409
30,ribeira grande,38.5167,-28.7,75.78,94,100,17.0,PT,1727654523
31,chake chake,-5.2459,39.7666,73.67,87,85,6.17,TZ,1727654524
32,mount gambier,-37.8333,140.7667,59.36,63,19,10.02,AU,1727654525
33,ancud,-41.8697,-73.8203,49.08,95,100,9.13,CL,1727654526
34,aksu,41.1231,80.2644,54.84,41,96,3.78,CN,1727654527
35,badger,64.8,-147.5333,52.99,52,16,1.01,US,1727654529
36,trincomalee,8.5711,81.2335,80.01,79,93,2.71,LK,1727654530
37,yellowknife,62.456,-114.3525,50.56,61,19,15.01,CA,1727654531
38,port alfred,-33.5906,26.891,50.18,73,6,4.0,ZA,1727654532
39,thompson,55.7435,-97.8558,59.47,50,100,7.36,CA,1727654534
40,mexico,15.0646,120.7198,81.05,83,99,9.06,PH,1727654535
41,zykovo,55.9519,93.1461,48.94,50,99,12.86,RU,1727654536
42,port-aux-francais,-49.35,70.2167,34.25,62,90,24.49,TF,1727654537
43,georgetown,5.4112,100.3354,77.95,94,20,2.3,MY,1727654383
44,lebu,-37.6167,-73.65,52.74,86,100,20.0,CL,1727654540
45,sisimiut,66.9395,-53.6735,41.29,87,100,21.16,GL,1727654541
46,puerto el triunfo,13.2833,-88.55,78.8,86,95,3.24,SV,1727654542
47,port elizabeth,-33.918,25.5701,53.89,52,0,23.02,ZA,1727654545
48,puerto deseado,-47.7503,-65.8938,40.86,67,100,16.22,AR,1727654547
49,stanley,54.868,-1.6985,50.72,83,20,6.91,GB,1727654548
50,arraial do cabo,-22.9661,-42.0278,70.95,81,2,17.65,BR,1727654550
51,ramos arizpe,25.55,-100.9667,77.2,70,84,11.39,MX,1727654551
52,tongchuanshi,35.0806,109.0897,54.45,62,100,6.78,CN,1727654552
53,colonia,50.9333,6.95,52.25,72,0,3.44,DE,1727654461
54,keflavik,64.0049,-22.5624,38.14,81,0,13.8,IS,1727654555
55,kailua-kona,19.6406,-155.9956,84.56,79,15,3.0,US,1727654556
56,longyearbyen,78.2186,15.6401,30.04,86,20,12.66,SJ,1727654557
57,dunedin,-45.8742,170.5036,58.8,66,30,5.99,NZ,1727654284
58,waitangi,-43.9535,-176.5597,49.82,71,24,5.99,NZ,1727654559
59,serenje,-13.2325,30.2352,66.65,28,1,2.84,ZM,1727654561
60,soller,39.7662,2.7152,64.85,85,27,3.58,ES,1727654562
61,tazovsky,67.4667,78.7,44.65,97,100,11.16,RU,1727654563
62,namibe,-15.1961,12.1522,64.27,92,61,2.13,AO,1727654564
63,kantunilkin,21.0917,-87.45,81.66,77,61,5.08,MX,1727654565
64,susuman,62.7833,148.1667,27.18,80,64,3.96,RU,1727654566
65,port saint john's,-31.6229,29.5448,59.22,67,97,13.73,ZA,1727654568
66,hamilton,39.1834,-84.5333,70.0,94,91,1.01,US,1727654569
67,bethel,41.3712,-73.414,61.36,87,98,1.59,US,1727654570
68,afaahiti,-17.75,-149.2833,82.27,81,55,13.89,PF,1727654571
69,belle fourche,44.6714,-103.8522,93.43,12,8,6.55,US,1727654572
70,hermanus,-34.4187,19.2345,50.81,68,61,23.17,ZA,1727654574
71,horta,38.5333,-28.6333,75.02,94,100,17.0,PT,1727654575
72,sao jose da coroa grande,-8.8978,-35.1478,75.02,86,81,12.77,BR,1727654576
73,bere,9.3202,16.1552,74.16,89,63,5.01,TD,1727654577
